column names	fixed	20220209	20220322	flag	description
var_id	TRUE	TRUE	TRUE		variant id in form [chromosome]:[position]:[reference]:[alternate]
ID	TRUE	TRUE	TRUE		variant id in form [chromosome]_[position]_[reference]_[alternate]
Consequence	TRUE	TRUE	TRUE		Consequence annotated by VEP105
SYMBOL	TRUE	TRUE	TRUE		Gene symbol
Gene	TRUE	TRUE	TRUE		Ensembl gene ID
Feature	TRUE	TRUE	TRUE		Ensembl transcript ID
HGVSc	TRUE	TRUE	TRUE		variant id in HGVSc format
HGVSp	TRUE	TRUE	TRUE		variant id in HGVSp format
EXON	TRUE	FALSE	TRUE		[exon that contains variant] / [total exons]
CANONICAL	TRUE	TRUE	TRUE		Binary field (YES/NO) identifying canonical transcript
AC_EXT_DCM	TRUE	TRUE	TRUE	ignore	
AC_EXT_HCM	TRUE	TRUE	TRUE	ignore	
AC_INT_DCM	TRUE	TRUE	TRUE	ignore	
AC_INT_HCM	TRUE	TRUE	TRUE	ignore	
AN_EXT_DCM	TRUE	TRUE	TRUE	ignore	
AN_EXT_HCM	TRUE	TRUE	TRUE	ignore	
AN_INT_DCM	TRUE	TRUE	TRUE	ignore	
AN_INT_HCM	TRUE	TRUE	TRUE	ignore	
AN_EXT_DCM_max	TRUE	FALSE	TRUE	ignore	
AN_EXT_HCM_max	TRUE	FALSE	TRUE	ignore	
AN_INT_DCM_max	TRUE	FALSE	TRUE	ignore	
AN_INT_HCM_max	TRUE	FALSE	TRUE	ignore	
AC_BLF_HCM	TRUE	TRUE	TRUE		Allele count in BLF HCM individuals
AC_EGY	TRUE	TRUE	TRUE		"Allele count in EGY individuals (HCM, DCM, HVOL)"
AC_EGY_DCM	TRUE	TRUE	TRUE		Allele count in EGY DCM individuals
AC_EGY_DCM_0-10	TRUE	TRUE	TRUE		"Allele count in EGY DCM individuals, aged 0-10"
AC_EGY_DCM_11-20	TRUE	TRUE	TRUE		"Allele count in EGY DCM individuals, aged 11-20"
AC_EGY_DCM_21-30	TRUE	TRUE	TRUE		"Allele count in EGY DCM individuals, aged 21-30"
AC_EGY_DCM_31-40	TRUE	TRUE	TRUE		"Allele count in EGY DCM individuals, aged 31-40"
AC_EGY_DCM_41-50	TRUE	TRUE	TRUE		"Allele count in EGY DCM individuals, aged 41-50"
AC_EGY_DCM_51-60	TRUE	TRUE	TRUE		"Allele count in EGY DCM individuals, aged 51-60"
AC_EGY_DCM_61-70	TRUE	TRUE	TRUE		"Allele count in EGY DCM individuals, aged 61-70"
AC_EGY_DCM_71-80	TRUE	TRUE	TRUE		"Allele count in EGY DCM individuals, aged 71-80"
AC_EGY_DCM_AFR	TRUE	TRUE	TRUE		"Allele count in EGY DCM individuals, identified as AFR descent"
AC_EGY_DCM_F	TRUE	TRUE	TRUE		Allele count in EGY DCM females
AC_EGY_DCM_M	TRUE	TRUE	TRUE		Allele count in EGY DCM males
AC_EGY_HCM	TRUE	TRUE	TRUE		Allele count in EGY HCM individuals
AC_EGY_HCM_0-10	TRUE	TRUE	TRUE		"Allele count in EGY HCM individuals, aged 0-10"
AC_EGY_HCM_11-20	TRUE	TRUE	TRUE		"Allele count in EGY HCM individuals, aged 11-20"
AC_EGY_HCM_21-30	TRUE	TRUE	TRUE		"Allele count in EGY HCM individuals, aged 21-30"
AC_EGY_HCM_31-40	TRUE	TRUE	TRUE		"Allele count in EGY HCM individuals, aged 31-40"
AC_EGY_HCM_41-50	TRUE	TRUE	TRUE		"Allele count in EGY HCM individuals, aged 41-50"
AC_EGY_HCM_51-60	TRUE	TRUE	TRUE		"Allele count in EGY HCM individuals, aged 51-60"
AC_EGY_HCM_61-70	TRUE	TRUE	TRUE		"Allele count in EGY HCM individuals, aged 61-70"
AC_EGY_HCM_71-80	TRUE	TRUE	TRUE		"Allele count in EGY HCM individuals, aged 71-80"
AC_EGY_HCM_AFR	TRUE	TRUE	TRUE		"Allele count in EGY HCM individuals, identified as AFR descent"
AC_EGY_HCM_F	TRUE	TRUE	TRUE		Allele count in EGY HCM females
AC_EGY_HCM_M	TRUE	TRUE	TRUE		Allele count in EGY HCM males
AC_EGY_HVOL	TRUE	TRUE	TRUE		Allele count in EGY HVOL individuals
AC_EGY_HVOL_11-20	TRUE	TRUE	TRUE		"Allele count in EGY HVOL individuals, aged 11-20"
AC_EGY_HVOL_21-30	TRUE	TRUE	TRUE		"Allele count in EGY HVOL individuals, aged 21-30"
AC_EGY_HVOL_31-40	TRUE	TRUE	TRUE		"Allele count in EGY HVOL individuals, aged 31-40"
AC_EGY_HVOL_41-50	TRUE	TRUE	TRUE		"Allele count in EGY HVOL individuals, aged 41-50"
AC_EGY_HVOL_51-60	TRUE	TRUE	TRUE		"Allele count in EGY HVOL individuals, aged 51-60"
AC_EGY_HVOL_61-70	TRUE	TRUE	TRUE		"Allele count in EGY HVOL individuals, aged 61-70"
AC_EGY_HVOL_71-80	TRUE	TRUE	TRUE		"Allele count in EGY HVOL individuals, aged 71-80"
AC_EGY_HVOL_81-90	TRUE	TRUE	TRUE		"Allele count in EGY HVOL individuals, aged 81-90"
AC_EGY_HVOL_AFR	TRUE	TRUE	TRUE		"Allele count in EGY HVOL individuals, identified as AFR descent"
AC_EGY_HVOL_F	TRUE	TRUE	TRUE		Allele count in EGY HVOL females
AC_EGY_HVOL_M	TRUE	TRUE	TRUE		Allele count in EGY HVOL males
AC_GDX_HCM	TRUE	TRUE	TRUE		Allele count in GDX HCM individuals
AC_GDX_HCM_0-10	TRUE	TRUE	TRUE		"Allele count in GDX HCM individuals, aged 0-10"
AC_GDX_HCM_11-20	TRUE	TRUE	TRUE		"Allele count in GDX HCM individuals, aged 11-20"
AC_GDX_HCM_21-30	TRUE	TRUE	TRUE		"Allele count in GDX HCM individuals, aged 21-30"
AC_GDX_HCM_31-40	TRUE	TRUE	TRUE		"Allele count in GDX HCM individuals, aged 31-40"
AC_GDX_HCM_41-50	TRUE	TRUE	TRUE		"Allele count in GDX HCM individuals, aged 41-50"
AC_GDX_HCM_51-60	TRUE	TRUE	TRUE		"Allele count in GDX HCM individuals, aged 51-60"
AC_GDX_HCM_61-70	TRUE	TRUE	TRUE		"Allele count in GDX HCM individuals, aged 61-70"
AC_GDX_HCM_71-80	TRUE	TRUE	TRUE		"Allele count in GDX HCM individuals, aged 71-80"
AC_GDX_HCM_81-90	TRUE	TRUE	TRUE		"Allele count in GDX HCM individuals, aged 81-90"
AC_GDX_HCM_F	TRUE	TRUE	TRUE		Allele count in GDX HCM females
AC_GDX_HCM_M	TRUE	TRUE	TRUE		Allele count in GDX HCM males
AC_LMM_DCM	TRUE	TRUE	TRUE		Allele count in LMM DCM individuals
AC_LMM_HCM	TRUE	TRUE	TRUE		Allele count in LMM HCM individuals
AC_OMG_DCM	TRUE	TRUE	TRUE		Allele count in OMG DCM individuals
AC_OMG_HCM	TRUE	TRUE	TRUE		Allele count in OMG HCM individuals
AC_RBH	TRUE	TRUE	TRUE		"Allele count in RBH individuals (HCM, DCM, HVOL)"
AC_RBH_DCM	TRUE	TRUE	TRUE		Allele count in RBH DCM individuals
AC_RBH_DCM_0-10	TRUE	TRUE	TRUE		"Allele count in RBH DCM individuals, aged 0-10"
AC_RBH_DCM_11-20	TRUE	TRUE	TRUE		"Allele count in RBH DCM individuals, aged 11-20"
AC_RBH_DCM_21-30	TRUE	TRUE	TRUE		"Allele count in RBH DCM individuals, aged 21-30"
AC_RBH_DCM_31-40	TRUE	TRUE	TRUE		"Allele count in RBH DCM individuals, aged 31-40"
AC_RBH_DCM_41-50	TRUE	TRUE	TRUE		"Allele count in RBH DCM individuals, aged 41-50"
AC_RBH_DCM_51-60	TRUE	TRUE	TRUE		"Allele count in RBH DCM individuals, aged 51-60"
AC_RBH_DCM_61-70	TRUE	TRUE	TRUE		"Allele count in RBH DCM individuals, aged 61-70"
AC_RBH_DCM_71-80	TRUE	TRUE	TRUE		"Allele count in RBH DCM individuals, aged 71-80"
AC_RBH_DCM_81-90	TRUE	TRUE	TRUE		"Allele count in RBH DCM individuals, aged 81-90"
AC_RBH_DCM_AFR	TRUE	TRUE	TRUE		"Allele count in RBH DCM individuals, identified as AFR descent"
AC_RBH_DCM_EAS	TRUE	TRUE	TRUE		"Allele count in RBH DCM individuals, identified as EAS descent"
AC_RBH_DCM_EUR	TRUE	TRUE	TRUE		"Allele count in RBH DCM individuals, identified as EUR descent"
AC_RBH_DCM_F	TRUE	TRUE	TRUE		Allele count in RBH DCM females
AC_RBH_DCM_M	TRUE	TRUE	TRUE		Allele count in RBH DCM males
AC_RBH_DCM_OTH	TRUE	TRUE	TRUE		"Allele count in RBH DCM individuals, identified as OTH descent"
AC_RBH_DCM_SAS	TRUE	TRUE	TRUE		"Allele count in RBH DCM individuals, identified as SAS descent"
AC_RBH_HCM	TRUE	TRUE	TRUE		Allele count in RBH HCM individuals
AC_RBH_HCM_0-10	TRUE	TRUE	TRUE		"Allele count in RBH HCM individuals, aged 0-10"
AC_RBH_HCM_11-20	TRUE	TRUE	TRUE		"Allele count in RBH HCM individuals, aged 11-20"
AC_RBH_HCM_21-30	TRUE	TRUE	TRUE		"Allele count in RBH HCM individuals, aged 21-30"
AC_RBH_HCM_31-40	TRUE	TRUE	TRUE		"Allele count in RBH HCM individuals, aged 31-40"
AC_RBH_HCM_41-50	TRUE	TRUE	TRUE		"Allele count in RBH HCM individuals, aged 41-50"
AC_RBH_HCM_51-60	TRUE	TRUE	TRUE		"Allele count in RBH HCM individuals, aged 51-60"
AC_RBH_HCM_61-70	TRUE	TRUE	TRUE		"Allele count in RBH HCM individuals, aged 61-70"
AC_RBH_HCM_71-80	TRUE	TRUE	TRUE		"Allele count in RBH HCM individuals, aged 71-80"
AC_RBH_HCM_81-90	TRUE	TRUE	TRUE		"Allele count in RBH HCM individuals, aged 81-90"
AC_RBH_HCM_AFR	TRUE	TRUE	TRUE		"Allele count in RBH HCM individuals, identified as AFR descent"
AC_RBH_HCM_EAS	TRUE	TRUE	TRUE		"Allele count in RBH HCM individuals, identified as EAS descent"
AC_RBH_HCM_EUR	TRUE	TRUE	TRUE		Allele count in RBH HCM individuals identified as EUR descent
AC_RBH_HCM_F	TRUE	TRUE	TRUE		Allele count in RBH HCM females
AC_RBH_HCM_M	TRUE	TRUE	TRUE		Allele count in RBH HCM males
AC_RBH_HCM_OTH	TRUE	TRUE	TRUE		"Allele count in RBH HCM individuals, identified as OTH descent"
AC_RBH_HCM_SAS	TRUE	TRUE	TRUE		"Allele count in RBH HCM individuals, identified as SAS descent"
AC_RBH_HVOL	TRUE	TRUE	TRUE		Allele count in RBH HVOL individuals
AC_RBH_HVOL_11-20	TRUE	TRUE	TRUE		"Allele count in RBH HVOL individuals, aged 11-20"
AC_RBH_HVOL_21-30	TRUE	TRUE	TRUE		"Allele count in RBH HVOL individuals, aged 21-30"
